NO,ABSTRAK,,,,,
44,"Selama ini untuk menentukan penerima beasiswa hingga tahap ke tujuh masih dilakukan dengan cara manual oleh Dinas Pendidikan Kabupaten Lamongan.Pemberian beasiswa diperuntukkan untuk mahasiswa yang secara ekonomi kurang mampu untuk membayar biaya studi di perguruan tinggi. Banyaknya kriteria yang digunakan untuk penentuan pemberian beasiswa mengakibatkan sulitnya membuat keputusan pemberian beasiswa. Selain itu waktu yang dibutuhkan juga lama. Tujuan penelitian ini adalah membuat klasifikasi penerima beasiswa dengan menggunakan algoritma C4.5 salah satu metode decision tree.Dengan adanya sistem ini dapat mempermudah dan mempercepat penentuan calon penerima beasiswa. Data yang digunakan 460 data dan untuk setiap atribut dihitung menggunakan rumus gain ratio untuk menghasilkan pohon dan rule keputusan. Dari uji coba yang telah dilakukan,untuk skenario uji coba 1 menghasilkan akurasi sebesar 83,97% tanpa pruning, 84,73 % menggunakan prepruning, dan 85,5% untuk post pruning. Sedangkan skenario uji coba 2 menghasilkan 91,24% tanpa pruning, 93,55% menggunakan prepruning dan 93,90 % untuk postpruning. Untuk skenario uji coba 3 menghasilkan akurasi sebanyak 83,71% tanpa pruning, sedangkan 89,9% untuk prepruning. Dari skenario uji coba yang dilakukan nilai akurasi yang dihasilkan setelah dilakukan pruning lebih baik dari pada tanpa pruning. Proses kalsifikasi menggunakan skenario 2 teknik prepruning digunakan sebagai acuan klasifikasi pendaftar baru, karena memiliki akurasi tertinggi sebesar 93,55%.",,,,,
45,"Citra digital banyak dimanfaatkan dalam berbagai aspek kehidupan,oleh karena itu membutuhkan tampilan citra yang yang dapat merepresentasikan objek yang terdapat dalam citra tersebut. Salah satu permasalahan yang ada saat melakukan pengambilan gambar (citra) adalah kemampuan untuk mengambil gambar yang sangat luas sehingga gambar harus diambil beberapa kali yang menyebabkan gambar atau objeknya menjadi terpisah-pisah. Untuk mengatasi permasalahan ini diperlukan proses penggabungan citra. Dan dalam penelitian ini akan digunakan metode Watershed. Dalam metode ini terlebih dahulu ditentukan titik korespondensi pada masing-masing citra kandidat, kemudian daerah hasil korespondensi tersebut akan disegmen menggunkan metode Watershed dan hasil segmentasinya digunakan untuk mencari Region cut sebagai acuan penggabungan citra. Proses penggabungan citra ini dsebut dengan mosaic panoramik. Hasil dari penelitian ini menunjukkan citra panorama yang ideal dapat dperoleh dengan menggunakan citra masukan yang mempunyai kesamaan obyek dan titik korespondensi dipilih pada obyek yang sama diantara dua citra masukan tersebut.",,,,,
46,"Peramalan merupakan suatu fungsi penting yang digunakan dalam perencanaan yang efektif dan efisien. Apotek merupakan sarana pelayanan masyarakat bisa memberikan pelayanan yang terbaik bagi masyarakat. Dalam hal ini membutuhkan produk farmasi sebagai penunjang layanan medis. Pelayanan yang baik dapat meningkatkan tingkat penjualan, maka dibutuhkan perencanaan yang baik untuk membantu pelayanan apotek. Penelitian ini bertujuan untuk perencanaan persediaan obat-obatan dengan menggunakan metode peramalan time series yaitu, Triple Exponential Smoothing (TES) dengan menggunakan perhitungan kesalahan Mean Square Error (MSE). Berdasarkan hasil analisis data, metode peramalan time seriesmendapatkan pola data terbaik untuk meramalkan penjualan obat-obatan di Apotek Arini yaitu pola data musiman. Nilai MSE terkecil sebesar 9,86633E-06% pada item obat allupurinol dengan nilai alpha (?) 0.9, betha (?) 0.5 dan gamma (?) 0.3.",,,,,
47,"Diabetes Retinopatipenyakit yang terjadi pada mata menyebabkan penglihatan penderita terganggu, pada tingkat lanjut dapat menyebakan kebutaan pada penderita. Pemeriksaan secara medis dilakukan dengan kamera fundus dan menghasilkan citra fundus mata. Untuk mengetahui tingkatan Diabetes Retinopati dilakukan klasifikasi terhadap tingkat keparahan berdasarkan citra fundus. Penelitian ini menggunakan database MESSIDOR(Methods for Evaluating Segmentation and Indexing techniques Dedicated to Retinal Ophthalmology). Pada penelitian ini ada 3 tahapan utama, Tahap pertama menyiapkan citra inputan, inputan menggunakan citra asli yang dirubah jadi grayscale dan citra eliminasi pembuluh darah. Citra eliminasi pembuluh darah didapat dengan overlapping antara citra grayscale dan citra hasil segmentasi. Tahap kedua proses ekstraksi fitur Linear Discriminant Analysis (LDA) yang diawali dengan proses ekstraksi fitur Principal Component Analysis (PCA). Hasil ekstraksi fitur digunakan pada tahap ketiga yaitu proses pengukuran kemiripan dengan Euclidean Distance. Sistem dapat bekerja dengan tingkat akurasi maksimum 40,88% dengan fitur awal (76) dengan inputan citra grayscale dan dengan nilai fitur yang sama menggunakan fitur awal (76) didapat akurasi 40,25% inputan menggunakan eliminasi pembuluh darah.",,,,,
48,"Batik adalah kerajinan yang memiliki nilai seni tinggi dan telah menjadi bagian dari budaya Indonesia sejak lama. Batik di Indonesia mempunyai beragam jenis tekstur batik, warna batik, dan pola batik yang mencerminkan asal usul daerah dari batik tersebut. Saat ini pencarian citra berbasis teks sudah tidak efektif lagi karena adanya penilaian subjektif dari pengguna dalam merepresentasikan suatu citra. Karena itu diperlukan suatu sistem yang dapat menangani pencarian citra menggunakan query berupa citra atau disebut Sistem Perolehan Citra berbasis Isi (SPCI) atau Content Based Image Retrieval (CBIR). Penelitian ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan kelas citra batik yang berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai objek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gray Level Difference Method (GLDM) menggunakan empat arah utama. GLDM menghitung perbedaan mutlak antara sepasang derajat keabuan yang terpisah oleh jarak dan arah tertentu. Hasil ekstraksi fitur dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=7 diperoleh akurasi presisi sebesar 61% pada data pelatihan 168 dan data uji coba 32 dengan 10 citra yang ditampilkan.",,,,,
49,"Malaria disebabkan oleh intraseluler parasit bersel tunggal yang dimiliki genus Plasmodium yang menginfeksi manusia dengan memasuki aliran darah. Dampak malaria secara geografis memiliki tingkat transmisi tertinggi di daerah tropis dan subtropics, yaitu di negara-negara yang memiliki tingkat pertumbuhan penduduk yang besar (termasuk Indonesia). Pendeteksian parasit malaria dapat dilakukan mencari titik kromatin. Bila tidak ada titik kromatin pada sel darah merah maka sel darah merah tersebut di anggap sebagai sel darah merah sehat. Pendeteksian titik kromatin secara manual akan memerlukan waktu yang lama. Proses segmentasi diharapkan sebagai langkah pertama untuk memudahkan pendeteksian titik kromatin karena segmentasi merupakan salah satu faktor yang sangat penting dalam analisis suatu gambar. Penelitian ini melakukan segmentasi sel darah merah dengan menggunakan operasi Morfologi, deteksi tepi Canny, dan transformasi Watershed. Data yang digunakan sebanyak 15 data citra dan setiap citra akan diuji dengan empat macam operasi Morfologi kemudian citra hasil Morfologi akan diuji sebanyak 16 kali percobaan dengan parameter masking, sigma, high threshold (HT), dan low threshold (LT) dari deteksi tepi Canny. Hasil pengujian kemudian disegmentasi dengan menggunakan transformasi Watershed. Perhitungan tingkat akurasi dilakukan dengan membandingkan koordinat tiap piksel citra hasil segmentasi dengan citra ground truth dan menghasilkan nilai rata-rata akurasi sebesar 39.3 %.",,,,,
50,"Pengenalan wajah merupakan bagian dari pattern recognition. Pengenalan wajah yang telah banyak diterapkan dimasyarakat, diaplikasikan pada sistem keamaan penerbangan, kepolisian dan pelayanan kependudukan. Penelitian ini menggunakan citra sebanyak 400 citra wajah, proses pengenalan wajah pada sistem ini dilakukan 4 tahap. Tahap pertama adalah data citra diproses dengan menjadikan citra wajah menjadi citra diagonal. Tahap kedua citra wajah diproses ekstraksi fitur menggunakan metode Principle Component Analysis (PCA). Tahap ketiga ekstraksi fitur citra wajah menggunakan metode Linear Discriminant Analysis (LDA). Tahap keempat hasil nilai matrik bobot dari masing - masing proses ekstraksi fitur. Tahap selanjutnya tahap pengklasifikasian dengan menggunakan jarak kemiripannya dengan menggunakan metode Manhattan Distance dan Naive Bayes Classifier, dalam skenario ujicoba sistem dari 4 skenario menggunakan Manhattan Distance menghasilkan rata - rata akurasi 93.75%. Sedangkan menggunakan Naive Bayes Classifier menghasilan rata - rata 88.15% Hasil analisa tersebut menyimpulkan bahwa input citra diagonal metode Diagonal LDA Linear Discriminant Analysis bisa diterapkan dalam pengenalan wajah.",,,,,
51,"Mata adalah salah satu panca indera manusia yang kurang mendapat perhatian meskipun fungsinya yang sangat vital bagi manusia. hal ini menyebabkan banyak penyakit dan gangguan yang menyerang mata kita. Bahkan, beberapa penyakit dapat dilihat dari mata antara lain tekanan darah tinggi, kanker dan diabetes. Salah satu gejala diabetes adalah perdarahan ringan pada retina, adalah gejala Diabetic Retinopathy (DR). Jika tidak diobati, kondisi itu dapat berakhir dengan kebutaan. Segmentasi pembuluh darah pada citra fundus mata dapat membantu analisa terhadap perubahan pembuluh darah di retina. Pada penelitian Tugas Akhir ini, segmentasi pembuluh darah retina dimulai dengan tahap preprocessing, dan segmentasi. Tahap pertama adalah preprocessing, yaitu mengambil citra green channel,dan memperbaiki kontras citra dengan Contrast Limited Adaptive Histogram Equalization (CLAHE). Tahap kedua adalah segmentasi dengan First-Order Derivative of Gaussian, dilanjutkan dengan Morfologi Top Hat. Dilakukan perbaikan dengan proses noise removal, overlapping mask, operasi morfologi dilasi dan field of view removal. Hasil dari proses tersebut dibandingkan dengan citra groundtruth untuk menghitung tingkat akurasi. Pengujian dilakukan pada database DRIVE sebanyak 20 citra. Citra hasil segmentasi dibandingkan dengan citra groundtruth. Akurasi yang didapat dari pengujian tersebut sebesar 88,79%. Citra hasil segmentasi kurang baik sehingga metode First-Order Derivative of Gaussian mampu melakukan segmentasi dengan cukup baik",,,,,
52,"Salah satu penyakit yang menyerang mata adalah Diabetic Retinopathy (DR), yang merupakan salah satu komplikasi yang disebabkan oleh penyakit diabetes. Gejala yang ditunjukkan dari penyakit ini adalah mikroneurisma, hemorrhages ,excudets dan neovascularos. Pendeteksian penyakit tersebut dilakukan dengan melihat informasi yang terdapat pada citra retina dan selanjutnya dapat diklasifikasi sesuai tingkat keparahan. Penelitian ini bertujuan untuk mengembangkan suatu metode yang dapat digunakan utuk mengklasifikasi Diabetic Retinopathy sesuai dengan tingkat keparahan. Proses klasifikasi terhadap tingkat keparahan dilakukan berdasarkan fiture � fiture pada citra retina yang diperoleh melalui proses ekstrasi fiture menggunakkan metode ekstrasi fiture Gray Level Cooccurence Matrix (GLCM). Fiture ciri tersebut adalah max probability, energy, entropy, autocorrelation, contrast. correlation,dan homogeneity. Proses selanjutnya dilakukan mengklasifikasi dengan Manhattan dan didapatkan hasil klasifikasi Diabetic Retinopahty. Hasil dari penelitian ini menghasilkan akurasi maksimal 51,67 %. ",,,,,
53,"Aplikasi klasifikasi status gizi balita ini dibuat untuk mempermudah dilakukannya kontrol terhadap perkembangan status gizi balita terutama di tempat penelitian ini dilakukan yaitu Kecamatan Arosbaya, tepatnya di Puskesmas Arosbaya. Aplikasi ini juga dapat digunakan sebagai media informasi karena dapat diisi dengan informasi yang berkaitan dengan Puskesmas Arosbaya sendiri. Untuk menentukan status gizi balita di aplikasi ini, digunakan metode Kohonen Self Organizing Map, dengan mengambil data dari Puskesmas Arosbaya. Parameter yang digunakan ada empat, yaitu: usia, jenis kelamin, tinggi badan, dan berat badan. Karena metode K-SOM hanya dapat digunakan untuk menentukan cluster maka dibuatlah sebuah rule untuk menentukan klasifikasi data pada kelas tertentu.Umumnya untuk mengetahui status gizi balita hanya menggunakan tiga parameter, namun pada penelitian ini akan menggunakan empat parameter. Hasil klasifikasi akan dibagi menjadi 3 kelas, yaitu: kelas 1 (status gizi kurang), kelas 2 (status gizi normal), dan kelas 3 (status gizi normal). Hasil penelitian menunjukkan bahwa sebanyak 88,17% (82 balita) balita berstatus gizi kurang, 8,6% (delapan balita) balita berstatus gizi normal, dan 3,23% (tiga balita) balita berstatus gizi lebih dengan nilai learning rate dan MSE akhir masing-masing 0,09436 dan 0,000792353. Sedangkan nilai akurasi, sencitivity, dan specificity masing adalah 100%.",,,,,
54,"Berbagai penelitian tentang citra sidik jari, telah banyak dilakukan. Mulai dari pendeteksian, pengklasifikasian sampai dengan pengenalan pola sidik jari. Hal ini dikarenakan keunikan yang dimiliki oleh sidik jari yang dapat dijadikan sebagai pengenalan identitas seseorang. Salah satu fitur dalam pengenalan sidik jari adalah kesamaan letak minutiae pada sidik jari seseorang. Minutiae didefinisikan sebagai titik-titik akhir dan titik-titik awal percabangan dari garis-garis alur (ridge) yang memberikan informasi yang unik dari suatu sidik jari [7]. Secara umum minutiae terbagi menjadi dua macam yaitu minutiae termination yang merupakan tempat ridge berakhir dan minutiae bifurcation yang merupakan tempat ridge memisah atau bercabang.Pada penelitian ini membahas tentang bagaimana mendeteksi letak minutiae pada sidik jari dengan menggunakan metode Crossing Number dengan menggunakan dua skenario pada proses binaryzation. Skenario pertama menggunakan nilai treshold = nilai mean piksel citra, dan skenario kedua menggunakan nilai treshold = 80. Langkah pertama dalam penelitian ini yaitu dengan memasukkan citra sidik jari (load image). Selanjutnya dilakukan grayscaling, binaryzation, thinning, dan block filter. Langkah terakhir, deteksi minutiae melalui ekstraksi minutiae dengan menggunakan crossing number. Dari hasil uji coba diperoleh Pendeteksian minutiae termination menggunakan skenario kedua lebih baik dibandingkan dengan skenario pertama dengan rata-rata akurasi 96,22%. Sedangkan untuk pendeteksian minutiae bifurcation, skenario pertama lebih baik dibandingkan dengan skenario kedua dengan rata-rata akurasi 46,28%.",,,,,
55,"Pada umumnya kemajuan teknologi untuk mendeteksi wajah bukanlah hal yang baru lagi. Pengenalan wajah merupakan bagian dari pattern recognition. Salah satu bentuk penerapan pengenalan wajah ini yaitu membedakan wajah antar satu orang dengan yang lain.Pada penelitian ini akan dibuat sistem pengenalan wajah menggunakan ekstraksi fitur Diagonal Principal Component Analysis (DiaPCA) untuk menentukan karakteristik dari wajah. Setelah itu dilakukan pengukuran kemiripan antara data pelatihan (training) dan data uji coba (testing) menggunakan metode klasifikasi Euclidean Distance. Melalui proses citra wajah ini dapat diketahui identitas dari seseorang. Alasan menggunakan ekstraksi fitur DiaPCA pada tugas akhir ini karena DiaPCA mengubah citra wajah asli menjadi citra wajah diagonal dengan memadukan informasi dari baris dan kolom pada citra asli untuk menemukan beberapa blok yang berguna atau struktur informasi yang diakui oleh citra asli, misalnya struktur daerah mata, hidung dan lain-lain. Dari ujicoba aplikasi menggunakan klasifikasi Euclidean Distance diperoleh akurasi pengenalan terbaik pada basis data ORL, YALE dan BERN masing-masing 94,16%, 92%, dan 94,06%. Ketiganya berada pada skenario Terurut D. ",,,,,
56,"Pengenalan wajah merupakan teknologi yang telah banyak dikembangkan oleh peneliti dibidang Computer Vision misalnya pada penggunaan mesin absensi atau akses kontrol. Selama ini, tahapan preprocessing pengenalan wajah telah mengalami perkembangan, namun masih memiliki kekurangan. Salah satu permasalahan yang ada mengenai preprocessing yaitu kurang optimalnya proses mendapatkan vektor proyeksi citra wajah menggunakan citra diagonal sehingga menyebabkan hilangnya beberapa informasi diskriminan yang terdapat pada citra wajah. Pada penelitian ini preprocessing dilakukan menggunakan metode image fusion. Metode yang digunakan untuk ekstraksi fitur yaitu Modified Two Dimensional Linear Discriminant Analysis. Data set yang digunakan adalah citra wajah Olivetti Research Laboratory (ORL) dengan jumlah 400 data yang terdiri dari 40 orang dan masing - masing terdiri dari 10 pose. Pada tahapan klasifikasi, metode yang digunakan yaitu Euclidean Distance. Terdapat 4 skenario pengujian yang dilakukan menggunakan semua kombinasi 4 pose hingga 7 pose data pelatihan, sehingga pengujian dapat dilakukan secara objektif dan meyeluruh. Akurasi tertinggi dan rata-rata akurasi pengenalan wajah yang diperoleh menggunakan citra original lebih tinggi sekitar 1% - 2% dibandingkan pengujian menggunakan citra image fusion.",,,,,
57,"Penyakit mata diabetes atau yang lebih dikenal dengan istilah Diabetic Retinopathy (DR) merupakan salah satu penyakit komplikasi yang dihasilkan oleh penyakit diabetes berupa kerusakan bagian retina pada mata.Optic Disk (OD) adalah daerah pada mata yang merupakan tempat syaraf mata memasuki retina dan juga merupakan bagian pusat pertemuan seluruh syaraf yang ada di mata. OD merupakan salah satu fitur mata yang mudah diamati, sehingga letak OD menjadi referensi dalam menentukan letak fitur � fitur lain dalam citra suatu fundus. OD mempunyai intensitas yang hampir sama dengan exudate, yaitu gejala DR yang tampak pada citra fundus yang berupa bercak pada mata. Dalam penelitian ini diawali dengan preprosessing untuk menghilangkan pembuluh darah pada citra (blood vessel) sehingga didapatkan citra yang telah bersih dari blood vesselnya. Kemudian dilakukan proses penentuan letak atau sementasi OD dengan menggunakan metode Otsu Tresholding dan Maksimum Entropy Tresholding. Hasil dari penelitian ini menghasilkan akurasi, sensifitas, dan spesifitas tertinggi dari masing � masing proses segmentasi.Otsu Tresholding dengan akurasi 92%, sensifitas 87%, dan spesifitas 98%. Maksimum Entropy Tresholding dengan akurasi 94%, sensifitas 90%, dan spesifitas 97% Kata kunci: Segmentasi Optic Disk, OtsuTresholding, Maksimum Entropy Tresholding, Ground Truth, DatabaseInspire, Median Filtering, CLAHE, Morfologi Opening dan Closing.",,,,,
58,"Sistem Perolehan Citra Berbasis Isi (SPCI) adalah sebuah teknik pencarian citra menggunakan isi visual, untuk mencari citra pada basis data citra sesuai dengan permintaan pengguna dalam suatu bentuk citra query. Fitur yang terkait isi visual seperti bentuk, warna, dan tekstur adalah fitur utama sebuah citra. Dalam penelitian ini sistem dibangun dengan memanfaatkan fitur warna. Fitur berdasarkan warna merupakan atribut yang paling dominan dalam sebuah citra terutama citra batik. Warna adalah fitur visual yang paling melekat pada indera manusia. Color Autocorrelogram digunakan sebagai ekstraksi fitur warna dari komponen hue dari citra dalam ruang warna HSV. Setelah didapat fitur vektor Autocorrelogram, selanjutnya dilakukan proses pencocokan citra antara citra query dan citra basis data dengan menggunakan Histogram Intersection Distance. Data yang digunakan dalam penelitian ini adalah citra batik dari delapan kelas yang berbeda, yaitu batik Bali, batik Bangkalan, batik Cirebon, batik Jogja, batik Pamekasan, batik Pekalongan, batik Solo, dan batik Sumenep. Setiap kelas terdapat sebanyak 25 citra. Hasil eksperimen dari tiga skenario adalah precision tertinggi pada skenario ke tiga dengan akurasi perolehan sebesar 70%. Hal ini dikarenakan semakin besar rentang nilai kemiripan yang ditampilkan maka semakin banyak citra relevan yang ter-retrieve.",,,,,
59,"Pada era teknologi informasi ini banyak hal yang seharusnya baik mejadi disalah gunakan, salah satunya adalah plagiarisme. Plagiarisme merupakan masalah penting, terutama dalam lingkungan akademisi, dimana terjadi penjiplakan karya tulis ilmiah yang makin marak sekarang ini. Salah satu cara untuk mengurangi plagiarisme yaitu dengn membangun sebuah sistem deteksi plagiarisme. Adapun algoritma yang digunanak dalam proses deteksi plagiarisme yaitu dengan menggunakan algoritma winnowing. Dokumen yang akan dibandingkan diproses dan mendpatkan fingerprint dari dokumen tadi, dimana fingerprint tersebut berupa ekumpulan nilai hash. Fingerprint yang sama antara dokumen yang dibandingkan kemiripannya merupakan kunci dari penghitungan nilai similarity-nya. Hasil penghitungan kemiripan antar 2 dokumen dengan 2 gram menghasilkan similarity mencapai 75,56%, sedangkan dengan percobaan dengan 10 gram, beberapa dokumen tidak mendapatkan kemiripan, yaitu dengan nilai 0%. Dari hasil uji coba sistem deteksi plagiarisme menggunakan algoritma winnowing fingerprint, nilai similarity-nya bergantung pada besarnya nilai gram, basis dan window dari sistem tersebut. Semakin kecil nilai gram, maka hasil dari similarity semakin besar.",,,,,
60,"Diabetic retinopathy adalah kondisi kerusakan pada pembuluh darah yang menyuplai retina pada penderita diabetes. Semakin lama seseorang menderita diabetes, maka semakin besar kemungkinan terkena diabetic retinopathy. Kelainan ini dapat mengakibatkan kebutaan. Dalam penelitian ini, algoritma hough transform dengan pendeteksian lokasi dan memperoleh fitur yang spesifik diterapkan untuk melakukan segmentasi optic disc. Pada tahap pertama, citra fundus retina akan diperbaiki dengan menggunakan homomorphic filtering untuk memperbaiki kualitas citra dengan menormalkan kecerahan seluruh komponen citra fundus retina. Tahap kedua dengan penghapusan pembuluh darah dan mengubah citra menjadi citra biner. Terakhir dilakukan deteksi tepi dan pendeteksian lokasi dan segmentasi optic disc menggunakan Algoritma hough transform. Pengujian dilakukan pada database INSPIRE (Iowa Normative Set for Processing Images of Retina) sebanyak 40 citra. Hasil segmentasi citra dibandingkan dengan citra ground truth. Setelah dilakukan uji coba diperoleh tingkat akurasi terbesar adalah 78%. Nilai Mean Difference of Diameters (MDD) dari optic disc sebesar 18.68 piksel dan rata-rata waktu komputasi paling cepat sebesar 7.38 seconds. Dari tingkat akurasi tersebut dapat disimpulkan bahwa algoritma hough transform cukup baik untuk segmentasi optic disc pada citra fundus retina",,,,,
61,"Manusia sebagai makhluk sosial tidak terlepas dari interaksi. Komunikasi merupakan bentuk nyata dari interaksi tersebut. Tujuan utama dari penelitian ini adalah agar terjadi harmoni sosial yang baik antara tuna rungu dengan orang normal. Pada penelitian ini, pengenalan yang dilakukan terfokus pada pengenalan isyarat huruf �A�-�Z�, masing-masing huruf terdiri dari tiga citra, hal ini dikarenakan adanya huruf yang bergerak yaitu huruf �J� dan �Z�. Ada tiga tahapan dalam penelitian ini, yaitu proses preprocessing, ekstraksi fitur, dan klasifikasi citra. Proses preprocessing citra melalui proses background removal yaitu dengan thresholding untuk memisahkan wilayah objek yang akan diteliti (yaitu tangan) dengan background citra, kemudian citra hasil tersebut dirubah dalam mode grayscale, selanjutnya dilakukan ekstraksi fitur dengan menggunakan algoritma Linear Discriminant Analysis (LDA) dan klasifikasi pola dengan Euclidean Distance. Pada penelitian ini data yang digunakan adalah 1092 citra yang digunakan sebagai data training dan data testing terdiri dari 7 orang laki-laki dan 7 orang perempuan. Terdapat tiga huruf dengan akurasi tertinggi sebesar 100% yaitu huruf �J�, �Q� dan �Z�, dikarenakan huruf tersebut sequence dan kualitas citra yang sempurna. Beberapa citra uji yang memiliki tingkat akurasi yang rendah cenderung karena memiliki bentuk yang hampir sama dengan huruf lainnya.",,,,,
62,"Penyakit merupakan suatu keadaan tidak normal dari tubuh manusia atau pikiran yang menyebabkan ketidaknyamanan. Untuk menyembuhkan suatu penyakit pada umumnya masyarakat berobat pada seorang dokter. Diagnosis penyakit merupakan penentuan jenis penyakit berdasarkan tanda dan gejala yang dirasakan. Saat ini beberapa penyakit semakin mewabah di kalangan masyarakat. Beberapa penyakit yang paling banyak diderita yaitu Infeksi Saluran Pencernaan Akut (ISPA), Nyeri Otot (Myalgia), serta Tifus. Terdapat banyak gejala dari 3 penyakit tersebut. Maka dari itu dibutuhkan suatu sistem berbasis komputer yang digunakan untuk menentukan diagnosis penyakit dengan menggunakan metode Dempster-Shafer. Dengan adanya sistem ini dapat mengatasi ketidakkonsistenan dalam menentukan diagnosis penyakit yang dilakukan oleh dokter. Pengambilan keputusan ini didasarkan pada 150 data hasil pemeriksaan terhadap pasien. Output dalam sistem ini yaitu berupa penyakit yang diderita antara lain penyakit Infeksi Saluran Pencernaan Akut (ISPA), Nyeri Otot (Myalgia), serta Suspect Tifus berdasarkan gejala yang dirasakan. Di dalam sistem untuk penyakit tifus akan menampilkan hasil diagnosis suspect tifus karena faktor keakuratan dalam menentukan penyakit tifus harus melalui pemeriksaan lebih lanjut yaitu tes laboratorium. Hasil perhitungan akurasi sistem dengan menggunakan metode Dempster-Shafer untuk menentukan diagnosis penyakit Ispa, Myalgia, dan Suspect Tifus mendapatkan hasil yang akurat yaitu masing-masing menghasilkan persentase sebesar 100%. Uji coba kelayakan terhadap pengguna memiliki tingkat kelayakan sebesar 86,8%.",,,,,
63,"Perkembangan mobile phone akhir-akhir ini semakin meningkat. Handphone saat ini tidak hanya menjadi alat komunikasi saja, namun telah menjadi sebuah perangkat cerdas yang mampu menangani berbagai kebutuhan manusia secara cepat dan tepat. Salah satunya adalah untuk pengenalan wajah. Face Recognition adalah teknik untuk mengenali seseorang berdasarkan citra dari wajah seseorang. Dalam perkembangan teknologi saat ini, face recognition merupakan salah satu penelitian yang sangat popular pada saat ini terutama dalam bidang computer vision dan biometrik. Hasil dari penelitian ini sudah banyak dimanfaatkan dalam bidang keamanan maupun dalam bidang pemerintahan seperti pelacakan kriminal maupun teroris. Tugas Akhir ini bertujuan untuk mengimplementasikan metode PCA yang diintegrasikan klasifikasi berbasis Similarity Measure dengan metode Euclidean Distance. Sistem dibangun pada device Windows Phone. Penelitian ini menggunakan 30 data citra yang akan digunakan sebagai data training dan testing untuk proses uji coba pada sistem yang telah dibuat. Dengan menggunakan metode ekstraksi fitur PCA dan penghitungan jarak dengan Euclidean Distance, dari tiga skenario pengujian yang telah dilakukan pada penelitian ini, menghasilkan tingkat akurasi sebesar 62.75% dengan kecepatan komputasi rata-rata 1.5 detik.",,,,,
64,"Indonesia memiliki beragam kekayaan budaya salah satunya aksara had (Lampung). Namun saat ini bahasa dan aksara lampung sudah sangat jarang digunakan. Maka dari itu diperlukan adanya pengembangan dalam bidang sistem informasi sebagai upaya pelestarian aksara lampung. Seperti pembuatan sistem pengenalan tulisan aksara lampung. Dalam proses pengenalan aksara ada beberapa metode yang dapat digunakan, salah satunya metode Learning Vector Quantization (LVQ). Namun, metode LVQ memiliki tingkat akurasi rendah karena banyaknya target yang pada akhirnya mempengaruhi perhitungan bobot, ketika bobot terus diupdate untuk memperoleh bobot akhir. Pada penelitian ini diusulkan metode backpropagation dengan menggunakan metode ekstraksi fitur zoning untuk melakukan pengenalan tulisan tangan aksara Lampung. Sistem dimulai dengan mengubah gambar menjadi binner, lalu cropping, setelah itu proses ekstraksi fitur menggunakan zoning. Zoning dengan algoritma gabungan ICZ (Image Centroid and Zone) dan ZCZ (Zone Centroid and Zone) dikenal sebagai ekstraksi ciri yang optimal, algoritma ini memberikan tingkat kesalahan yang relatif rendah. Dari hasil uji coba, penggunaan ekstraksi fitur Zoning algoritma ICZ dan klasifikasi backpropagation dalam pengenalan aksara lampung mendapatkan akurasi sebesar 73,5%",,,,,
